Product URL,Product Name,Product Price,Rating,Number of Reviews
/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QB6D7B,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"₹1,439",4.5 out of 5 stars,"4,034"
/AmazonBasics-Mini-Backpack-Outdoor-Black/dp/B0BRKFXT9Z,AmazonBasics - Mini Backpack for Outdoor Use (12 l) (Black),₹279,3.7 out of 5 stars,546
/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ,Tommy Hilfiger Joshua Laptop Backpack,"₹1,759",4.1 out of 5 stars,533
/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"₹1,409",4.2 out of 5 stars,"1,413"
/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",₹799,4.1 out of 5 stars,"2,633"
/Safari-Overnighter-Resistant-Polyester-Travelling/dp/B097JK3X9D,"Safari Crew Overnighter Backpack, 40 Ltr Water Resistant Travel Laptop Bag, Black Polyester Backpack for Men and Women, Spacious Shoulder Bag for Travelling and Camping","₹1,799",4.3 out of 5 stars,227
/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR,"Bennett Casual Laptop Bag School Bags for Boys Girls 15.6-inch, 25 LTR Office & College bags for Mens Water Repellent Backpack for Men & Women (GREY)",₹512,3.9 out of 5 stars,170
/Half-Moon-Resistant-Backpack-Compartment/dp/B09GG53CSL,Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),₹699,3.9 out of 5 stars,"1,341"
/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F,Gear Cello Classic Anti Theft Faux Leather 20 Ltrs Navy Laptop Backpack (LBPCLSLTH0519),₹987,4.4 out of 5 stars,"6,496"
/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8,ADISA Women's Girls Party Sling Bag Crossbody,₹378,4.0 out of 5 stars,573
/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT,"Luv Lap LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",₹349,4.4 out of 5 stars,711
/House-Quirk-Maternity-Backpack-Elephant/dp/B07QV7SH4S,House of Quirk Baby Diaper Bag Maternity Backpack (Blue Elephant Printed),"₹1,399",4.3 out of 5 stars,"3,913"
/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",₹701,4.3 out of 5 stars,911
/Mokobara-Transit-Backpack-Laptop-Sunray/dp/B09V7R98XC,"MOKOBARA The Transit Backpack - 30L Premium Nylon 15.6"" Unisex Laptop Bag With Luggage Sleeve","₹4,999",4.5 out of 5 stars,588
/Genie-Heartbeat-compartments-Lightweight-Travelling/dp/B097JJFF6Z,"Genie Heartbeat Backpack for Women 3 compartments, School Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",₹870,4.5 out of 5 stars,272
/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJ64SH,"Genie Fringe Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres","₹1,299",5.0 out of 5 stars,8
/ADISA-Laptop-Backpack-Office-College/dp/B0BVRJYD9Q,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),₹599,3.7 out of 5 stars,44
/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG,Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,₹644,4.3 out of 5 stars,427
